Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,locus_tag_prefix,num_replicons,Organism,Platform,project_name,ref_biomaterial,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study,Strain
DRR272465,WGS,302,157834260,PRJDB11170,SAMD00278401,MIGS.ba.human-associated,62698045,NIID,2018-01-09,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,DRX262049,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1127,PAIRED,RANDOM,GENOMIC,JARBOU1127,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278401,JARB-OU1127,DRP008386,JARB-OU1127
DRR272466,WGS,302,133646778,PRJDB11170,SAMD00278402,MIGS.ba.human-associated,52069397,NIID,2018-01-09,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,DRX262050,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1128,PAIRED,RANDOM,GENOMIC,JARBOU1128,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:09:00Z,1,SAMD00278402,JARB-OU1128,DRP008386,JARB-OU1128
DRR272468,WGS,302,360794870,PRJDB11170,SAMD00278404,MIGS.ba.human-associated,153671754,NIID,2018-01-11,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,DRX262052,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1130,PAIRED,RANDOM,GENOMIC,JARBOU1130,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:09:00Z,1,SAMD00278404,JARB-OU1130,DRP008386,JARB-OU1130
DRR272470,WGS,302,404415146,PRJDB11170,SAMD00278406,MIGS.ba.human-associated,156842997,NIID,2018-01-20,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,DRX262054,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1132,PAIRED,RANDOM,GENOMIC,JARBOU1132,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:08:00Z,1,SAMD00278406,JARB-OU1132,DRP008386,JARB-OU1132
DRR272473,WGS,302,313553916,PRJDB11170,SAMD00278409,MIGS.ba.human-associated,133614213,NIID,2018-02-13,public,"sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,DRX262057,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1135,PAIRED,RANDOM,GENOMIC,JARBOU1135,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278409,JARB-OU1135,DRP008386,JARB-OU1135
DRR272474,WGS,302,278842942,PRJDB11170,SAMD00278410,MIGS.ba.human-associated,120187556,NIID,2018-02-21,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,DRX262058,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1136,PAIRED,RANDOM,GENOMIC,JARBOU1136,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:10:00Z,1,SAMD00278410,JARB-OU1136,DRP008386,JARB-OU1136
DRR272475,WGS,302,261770580,PRJDB11170,SAMD00278411,MIGS.ba.human-associated,102388692,NIID,2018-02-19,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",missing,missing,missing,DRX262059,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1137,PAIRED,RANDOM,GENOMIC,JARBOU1137,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278411,JARB-OU1137,DRP008386,JARB-OU1137
DRR272477,WGS,302,440640348,PRJDB11170,SAMD00278413,MIGS.ba.human-associated,187062565,NIID,2018-02-26,public,"sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,DRX262061,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1139,PAIRED,RANDOM,GENOMIC,JARBOU1139,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278413,JARB-OU1139,DRP008386,JARB-OU1139
DRR272480,WGS,302,343156258,PRJDB11170,SAMD00278416,MIGS.ba.human-associated,146755500,NIID,2018-03-08,public,"sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,DRX262064,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1142,PAIRED,RANDOM,GENOMIC,JARBOU1142,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278416,JARB-OU1142,DRP008386,JARB-OU1142
DRR272482,WGS,302,93316188,PRJDB11170,SAMD00278418,MIGS.ba.human-associated,40469247,NIID,2018-03-20,public,"sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",missing,missing,missing,DRX262066,Japan,Asia,Japan:Nagano,Homo sapiens,HiSeq X Five,missing,36.294843 N 138.356049 E,JARB-OU1144,PAIRED,RANDOM,GENOMIC,JARBOU1144,missing,Staphylococcus aureus,ILLUMINA,CA-MRSA surveillance with MML in Japan,missing,2022-04-08T00:00:00Z,2022-04-04T13:07:00Z,1,SAMD00278418,JARB-OU1144,DRP008386,JARB-OU1144
